ts_iso,com,mac,endpoint,variant,flash
2026-05-21T17:31:16,COM36,10:51:db:1b:f7:88,ami-esp32c6-f788,build_ota,20m/dout
2026-05-21T17:31:31,COM8,10:51:db:1c:15:58,ami-esp32c6-1558,build_ota,20m/dout
2026-05-21T17:34:06,COM37,fc:01:2c:e3:d2:b4,ami-esp32c6-d2b4,build_ota,20m/dout
2026-05-21T17:34:09,COM39,10:51:db:1b:f8:08,ami-esp32c6-f808,build_ota,20m/dout
2026-05-21T17:34:12,COM40,10:51:db:1c:09:1c,ami-esp32c6-091c,build_ota,20m/dout
2026-05-21T17:34:14,COM41,10:51:db:1b:f6:e4,ami-esp32c6-f6e4,build_ota,20m/dout
2026-05-21T17:34:46,COM42,fc:01:2c:e3:c1:44,ami-esp32c6-c144,build_ota,20m/dout
2026-05-21T17:34:48,COM43,10:51:db:1c:15:d8,ami-esp32c6-15d8,build_ota,20m/dout
2026-05-21T17:34:55,COM44,10:51:db:1c:15:5c,ami-esp32c6-155c,build_ota,20m/dout
2026-05-21T17:35:46,COM46,58:e6:c5:18:c6:1c,ami-esp32c6-c61c,build_ota,20m/dout
2026-05-21T17:36:16,COM47,58:e6:c5:18:c6:0c,ami-esp32c6-c60c,build_ota,20m/dout
2026-05-21T17:38:40,COM17,10:51:db:1c:14:94,ami-esp32c6-1494,build_ota_ftd,20m/dout
2026-05-21T17:38:48,COM22,10:51:db:1c:14:bc,ami-esp32c6-14bc,build_ota_ftd,20m/dout
2026-05-21T17:38:56,COM22,10:51:db:1c:14:bc,ami-esp32c6-14bc,build_ota_ftd,20m/dout
2026-05-21T17:39:01,COM27,10:51:db:1b:f7:e8,ami-esp32c6-f7e8,build_ota_ftd,20m/dout
2026-05-21T17:39:07,COM32,10:51:db:1b:f7:68,ami-esp32c6-f768,build_ota_ftd,20m/dout
2026-05-21T17:39:14,COM36,10:51:db:1b:f7:88,ami-esp32c6-f788,build_ota_ftd,20m/dout
2026-05-21T17:39:21,COM41,10:51:db:1b:f6:e4,ami-esp32c6-f6e4,build_ota_ftd,20m/dout
2026-05-22T11:31:29,COM17,10:51:db:1c:14:94,ami-esp32c6-1494,build_ota,20m/dout
2026-05-22T11:31:34,COM18,10:51:db:1b:f7:b4,ami-esp32c6-f7b4,build_ota,20m/dout
2026-05-22T11:31:37,COM19,10:51:db:1b:fb:b8,ami-esp32c6-fbb8,build_ota,20m/dout
2026-05-22T11:31:40,COM20,10:51:db:1c:14:c8,ami-esp32c6-14c8,build_ota,20m/dout
2026-05-22T11:32:02,COM21,10:51:db:1b:f6:c8,ami-esp32c6-f6c8,build_ota,20m/dout
2026-05-22T11:32:05,COM22,10:51:db:1c:14:bc,ami-esp32c6-14bc,build_ota,20m/dout
2026-05-22T11:32:07,COM23,10:51:db:1c:14:98,ami-esp32c6-1498,build_ota,20m/dout
2026-05-22T11:34:32,COM24,10:51:db:1b:f7:9c,ami-esp32c6-f79c,build_ota,20m/dout
2026-05-22T11:34:34,COM25,10:51:db:1b:f8:54,ami-esp32c6-f854,build_ota,20m/dout
2026-05-22T11:34:37,COM26,10:51:db:1b:f8:4c,ami-esp32c6-f84c,build_ota,20m/dout
2026-05-22T11:34:39,COM27,10:51:db:1b:f7:e8,ami-esp32c6-f7e8,build_ota,20m/dout
2026-05-22T11:35:22,COM28,10:51:db:1b:f7:94,ami-esp32c6-f794,build_ota,20m/dout
2026-05-22T11:35:24,COM29,fc:01:2c:e3:ba:64,ami-esp32c6-ba64,build_ota,20m/dout
2026-05-22T11:35:26,COM30,10:51:db:1b:f6:d4,ami-esp32c6-f6d4,build_ota,20m/dout
2026-05-22T11:37:42,COM32,10:51:db:1b:f7:68,ami-esp32c6-f768,build_ota,20m/dout
2026-05-22T11:37:46,COM33,10:51:db:1b:fb:b4,ami-esp32c6-fbb4,build_ota,20m/dout
2026-05-22T11:38:10,COM35,10:51:db:1c:15:34,ami-esp32c6-1534,build_ota,20m/dout
2026-05-22T11:38:13,COM36,10:51:db:1b:f7:88,ami-esp32c6-f788,build_ota,20m/dout
2026-05-22T11:38:18,COM8,10:51:db:1c:15:58,ami-esp32c6-1558,build_ota,20m/dout
2026-05-22T11:39:33,COM33,10:51:db:1b:fb:b4,ami-esp32c6-fbb4,build_ota,20m/dout
2026-05-22T11:41:55,COM34,10:51:db:1c:08:fc,ami-esp32c6-08fc,build_ota,20m/dout
2026-05-22T11:41:59,COM32,10:51:db:1b:f7:68,ami-esp32c6-f768,build_ota,20m/dout
2026-05-22T11:42:01,COM31,10:51:db:1b:f8:1c,ami-esp32c6-f81c,build_ota,20m/dout
2026-05-22T11:43:16,COM37,fc:01:2c:e3:d2:b4,ami-esp32c6-d2b4,build_ota,20m/dout
2026-05-22T11:43:18,COM39,10:51:db:1b:f8:08,ami-esp32c6-f808,build_ota,20m/dout
2026-05-22T11:43:22,COM40,10:51:db:1c:09:1c,ami-esp32c6-091c,build_ota,20m/dout
2026-05-22T11:43:26,COM41,10:51:db:1b:f6:e4,ami-esp32c6-f6e4,build_ota,20m/dout
2026-05-22T11:44:09,COM42,fc:01:2c:e3:c1:44,ami-esp32c6-c144,build_ota,20m/dout
2026-05-22T11:44:23,COM43,10:51:db:1c:15:d8,ami-esp32c6-15d8,build_ota,20m/dout
2026-05-22T11:44:26,COM44,10:51:db:1c:15:5c,ami-esp32c6-155c,build_ota,20m/dout
2026-05-22T11:46:39,COM37,fc:01:2c:e3:d2:b4,ami-esp32c6-d2b4,build_ota,20m/dout
2026-05-22T11:49:50,COM46,58:e6:c5:18:c6:1c,ami-esp32c6-c61c,build_ota,20m/dout
2026-05-22T11:50:50,COM47,58:e6:c5:18:c6:0c,ami-esp32c6-c60c,build_ota,20m/dout
2026-05-22T11:55:34,COM17,10:51:db:1c:14:94,ami-esp32c6-1494,build_ota_ftd,20m/dout
2026-05-22T11:55:42,COM22,10:51:db:1c:14:bc,ami-esp32c6-14bc,build_ota_ftd,20m/dout
2026-05-22T11:55:47,COM27,10:51:db:1b:f7:e8,ami-esp32c6-f7e8,build_ota_ftd,20m/dout
